model,effort,mode,plan,iq,cost,minutes,family_capacity_20x,plan_capacity,weekly_share,eligible_gate_015,eligible_gate_020,eligible_gate_025,eligible_gate_030,eligible_gate_040,eligible_gate_050,eligible_gate_060,eligible_gate_080,fast_ratio,quota_status
gpt-5.6-terra,high,Fast,Pro20,77.68,2.6938075,9.832972825053085,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,1.389203473154748,unavailable
gpt-5.6-terra,xhigh,Standard,Plus,87.95,1.795006,19.28,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,not_applicable,unavailable
gpt-5.6-terra,xhigh,Standard,Pro5,87.95,1.795006,19.28,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,not_applicable,unavailable
gpt-5.6-terra,xhigh,Standard,Pro20,87.95,1.795006,19.28,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,not_applicable,unavailable
gpt-5.6-terra,xhigh,Fast,Plus,87.95,4.487515,13.878456520279904,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,1.389203473154748,unavailable
gpt-5.6-terra,xhigh,Fast,Pro5,87.95,4.487515,13.878456520279904,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,1.389203473154748,unavailable
gpt-5.6-terra,xhigh,Fast,Pro20,87.95,4.487515,13.878456520279904,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,1.389203473154748,unavailable
gpt-5.6-terra,max,Standard,Plus,101.34,3.533257,30.96,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,not_applicable,unavailable
gpt-5.6-terra,max,Standard,Pro5,101.34,3.533257,30.96,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,not_applicable,unavailable
gpt-5.6-terra,max,Standard,Pro20,101.34,3.533257,30.96,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,not_applicable,unavailable
